,date,c13,o18
682,1812.5,-24.66,24.79
683,1812.7,-24.9,25.22
684,1812.9,-25.58,23.56
685,1813.1,-25.28,25.43
686,1813.3,-25.33,25.76
687,1813.5,-25.48,24.44
688,1813.7,-25.11,25.49
689,1813.9,-25.21,26.69
690,1814.1,-25.57,26.02
691,1814.3,-25.43,25.5
692,1814.5,-25.05,25.81
693,1814.7,-25.01,25.67
694,1814.9,-25.5,25.14
695,1815.1,-25.64,24.82
696,1815.3,-25.47,24.75
697,1815.5,-24.96,26.01
698,1815.7,-24.95,25.37
699,1815.9,-25.19,24.91
700,1816.08,-25.3,24.42
701,1816.25,-24.77,25.36
702,1816.42,-24.5,26.47
703,1816.58,-24.85,25.0
704,1816.75,-24.59,25.18
705,1816.92,-24.72,25.96
706,1817.1,-25.1,25.67
707,1817.3,-24.7,25.26
708,1817.5,-24.4,25.56
709,1817.7,-24.6,24.94
710,1817.9,-24.49,25.61
711,1818.17,-24.87,25.46
712,1818.5,-24.96,25.48
713,1818.83,-25.05,24.74
714,1819.13,-24.84,25.26
715,1819.38,-24.78,25.32
716,1819.63,-24.65,24.83
717,1819.88,-24.57,24.6
718,1820.13,-24.78,24.78
719,1820.38,-24.86,24.73
720,1820.63,-24.53,24.84
721,1820.88,-24.56,25.0
722,1821.38,-24.6,26.21
723,1821.88,-24.6,24.52
724,1822.13,-24.42,25.01
725,1822.38,-24.8,24.14
726,1822.63,-24.73,23.88
727,1822.88,-24.64,24.49
728,1823.17,-24.91,24.98
729,1823.5,-25.01,23.99
730,1823.83,-24.55,25.43
731,1824.13,-24.45,25.67
732,1824.38,-24.58,25.76
733,1824.63,-24.46,25.2
734,1824.88,-25.27,25.23
735,1825.1,-25.43,24.78
736,1825.3,-25.66,24.66
737,1825.5,-25.43,23.75
738,1825.7,-24.98,24.63
739,1825.9,-24.47,24.99
740,1826.17,-24.7,25.02
741,1826.17,-25.02,24.99
742,1826.5,-24.95,24.83
743,1826.83,-24.97,25.11
744,1827.25,-25.4,24.45
745,1827.75,-25.56,24.72
746,1828.08,-25.7,24.19
747,1828.25,-25.55,23.98
748,1828.58,-24.79,23.29
749,1828.75,-24.99,23.19
750,1828.92,-24.99,23.46
751,1829.08,-25.6090509571045,22.6393233089912
752,1829.25,-25.07,25.07
753,1829.42,-25.43,24.3
754,1829.58,-25.03,25.34
755,1829.75,-25.17,25.57
756,1829.92,-25.16,25.88
757,1830.13,-25.0216824642949,26.4824840405748
758,1830.38,-25.2620277675729,25.5269008232995
759,1830.63,-25.1394429414491,25.9133946960628
760,1830.88,-25.1788158193741,26.2218672277912
761,1831.13,-25.2146862717243,25.7766227382127
762,1831.38,-25.5813593239521,25.6979905073404
763,1831.63,-25.2588459531188,25.3739877861574
764,1831.88,-24.9666147290625,25.9322541484799
765,1832.17,-25.209973381792,25.479153288905
766,1832.5,-25.3775674111977,25.3059739906032
