date,c13,o18
1937.25,-25.25,26.67
1937.42,-25.18,27.07
1937.58,-24.9,26.67
1937.75,-25.02,26.88
1937.92,-25.32,27.23
1938.08,-24.92,27.07
1938.25,-24.3,26.17
1938.42,-24.18,26.87
1938.58,-24.57,26.52
1938.75,-25.14,26.81
1938.92,-25.71,26.42
1939.08,-25.79,26.05
1939.25,-25.22,26.89
1939.42,-25.46,27.04
1939.58,-26.14,26.47
1939.75,-26.6,25.96
1939.92,-26.89,26.23
1940.1,-25.4,27.19
1940.3,-25.22,27.01
1940.5,-25.62,26.8
1940.7,-26.73,25.31
1940.9,-26.88,25.85
1941.08,-26.13,26.44
1941.25,-25.29,26.78
1941.42,-25.26,27.41
1941.58,-26.0,26.74
1941.75,-26.55,26.59
1941.92,-26.62,26.95
1942.08,-26.36,27.65
1942.25,-25.25,27.93
1942.42,-25.36,26.86
1942.58,-26.24,25.87
1942.75,-26.64,25.92
1942.92,-26.84,26.68
1943.08,-26.03,27.43
1943.25,-24.98,27.9
1943.42,-24.8,28.21
1943.58,-25.89,26.95
1943.75,-26.4,26.53
1943.92,-26.86,26.45
1944.08,-26.14,25.86
1944.25,-26.05,25.02
1944.42,-25.66,26.86
1944.58,-25.87,26.74
1944.75,-26.28,27.02
1944.92,-26.71,26.69
1945.08,-27.17,26.73
1945.25,-24.94,27.65
1945.42,-24.35,27.31
1945.58,-24.7,28.68
1945.75,-24.97,29.55
1945.92,-25.57,29.5
1946.08,-25.99,28.62
1946.25,-25.83,28.8
1946.42,-25.51,27.1
1946.58,-25.69,26.04
1946.75,-25.99,26.06
1946.92,-26.07,27.22
1947.08,-24.65,29.04
1947.25,-24.56,28.72
1947.42,-24.27,29.41
1947.58,-24.74,28.34
1947.75,-25.37,27.53
1947.92,-25.68,27.35
1948.08,-25.47,28.26
1948.25,-25.07,27.65
1948.42,-25.61,27.39
1948.58,-25.83,27.73
1948.75,-25.99,28.29
1948.92,-25.75,28.85
1949.08,-26.29,27.57
1949.25,-26.16,27.31
